node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
2706 2707 11 -4.5195 -1.7573 -4.7201 -5.3421 -2.1903 -5.8779 0.0505 15.1764 50.8000 5 2 11  
608 633 498 -2.2515 -3.0827 -6.8660 -2.0214 -2.8434 -7.2398 0.0090 15.1869 52.7236 2 2 498  
1454 1574 750 3.5743 -3.5569 -6.6319 3.5103 -3.6295 -6.6569 0.0107 15.2175 48.1954 3 2 750  
1805 1806 8 -8.2628 7.8708 -10.7104 -8.7779 8.5422 -11.9578 0.0569 15.2720 54.0000 5 2 8  
23 267 379 -0.3047 -0.0802 -16.9827 -0.7042 -0.3496 -17.1163 0.0077 15.3354 52.4160 2 2 379  
553 577 484 2.0635 -2.8552 -6.7830 1.8519 -2.6178 -7.1688 0.0093 15.3753 52.6338 2 2 484  
2420 2421 10 -5.0337 0.7903 -9.9400 -5.2509 1.1122 -11.3773 0.0543 15.3932 53.0000 5 2 10  
196 197 359 -0.3442 2.3329 -9.8612 -0.3575 3.2595 -10.2370 0.0099 15.4313 56.6589 3 2 359  
2141 2142 9 -8.2454 -3.3404 -12.5516 -8.3866 -3.6917 -13.9919 0.0393 15.4487 53.5000 5 2 9  
3505 3506 14 0.0000 0.0000 -1.0000 0.0435 -0.0678 -1.0593 0.0301 15.4501 47.6000 5 2 14  
843 926 564 -1.7710 3.9758 -5.1317 -1.6823 3.9864 -5.1768 0.0110 15.5350 47.9182 3 2 564  
1795 1857 835 -0.0690 0.0522 -1.0502 -0.4389 -0.2842 -1.0469 0.0085 15.5436 51.5818 2 2 835  
847 848 5 -2.8934 8.2516 -9.1882 -3.0576 8.9460 -10.4728 0.0634 15.5465 54.0000 5 2 5  
43 44 1 -1.0787 -1.5020 -30.3583 -1.2472 -1.5467 -31.2896 0.0255 15.5869 63.0000 1 2 1  
35 310 392 -1.4410 -0.5944 -24.6375 -1.5063 -0.5223 -24.6608 0.0119 15.6242 47.9705 3 2 392  
1141 1142 6 1.5953 -8.1655 -11.3330 1.6710 -8.2584 -12.7968 0.0543 15.6509 53.5000 5 2 6  
1459 1460 7 3.7854 -5.7620 -13.6294 3.5856 -6.0945 -15.0842 0.0522 15.6847 53.0000 5 2 7  
